dm,compound
1993-11,0.24306280487804877
1993-12,0.27726089743589744
1993-2,0.21956825938566554
1993-3,0.17456184971098265
1993-5,0.15792756410256412
1993-7,0.1755638766519824
1993-8,0.18096298701298702
1993-9,0.18533765432098764
1994-11,0.20357552083333333
1994-12,0.21035459459459457
1994-2,0.20633239875389406
1994-3,0.18314734299516908
1994-5,0.20380833333333334
1994-7,0.18009014084507044
1994-8,0.2422748427672956
1994-9,0.22642051282051284
1995-11,0.2582434482758621
1995-12,0.2403233766233766
1995-2,0.19339789029535864
1995-3,0.19996627218934912
1995-5,0.18166064516129032
1995-7,0.22895145228215766
1995-8,0.23880743243243244
1995-9,0.255446
1996-1,0.19282231404958677
1996-11,0.22273835616438353
1996-12,0.2279027972027972
1996-3,0.20100967741935485
1996-5,0.197687012987013
1996-7,0.23154264705882352
1996-8,0.18938181818181818
1996-9,0.19934563758389262
1997-11,0.2552889705882353
1997-12,0.25489931506849317
1997-2,0.24009781818181816
1997-3,0.22596866666666665
1997-5,0.2491195804195804
1997-7,0.22011208791208792
1997-8,0.21596026490066225
1997-9,0.24401357142857144
1998-11,0.16713386243386244
1998-12,0.21576319444444444
1998-2,0.23026413793103448
1998-3,0.2264014285714286
1998-5,0.17852222222222222
1998-6,0.191133
1998-8,0.18648447204968946
1998-9,0.15016300578034683
1999-10,0.2550791946308725
1999-11,0.21645228758169932
1999-12,0.24577152777777778
1999-2,0.2245112403100775
1999-3,0.22488076923076925
1999-5,0.22840596026490068
1999-6,0.25089793814432987
1999-8,0.20612905405405407
2000-10,0.2506575471698113
2000-11,0.2240360294117647
2000-12,0.2005778481012658
2000-2,0.24180121951219513
2000-3,0.29955675675675675
2000-5,0.25021951219512195
2000-6,0.21227
2000-8,0.25275923076923074
2001-1,0.19977699115044248
2001-10,-0.044347826086956525
2001-11,0.02961627906976744
2001-12,0.07941212121212121
2001-3,0.16024935897435896
2001-5,0.17564000000000002
2001-6,0.1265883211678832
2001-8,0.08463351648351648
2002-1,0.16485
2002-11,0.1444258064516129
2002-12,0.13668918918918918
2002-3,0.23797131782945735
2002-5,0.16139344262295083
2002-6,0.20596976744186046
2002-8,0.1920926229508197
2002-9,0.19917759999999998
2003-1,0.17306338028169013
2003-10,0.17402393162393162
2003-12,0.19055116279069767
2003-3,0.10233931623931623
2003-5,0.12152500000000001
2003-6,0.16270666666666667
2003-8,0.20545677966101694
2003-9,0.20850769230769228
2004-1,0.23610362903225807
2004-11,0.22026062992125983
2004-12,0.2944294642857143
2004-3,0.20996444444444443
2004-5,0.3045725
2004-6,0.3020109589041096
2004-8,0.3146635658914729
2004-9,0.23996762589928056
2005-11,0.14962403100775196
2005-12,0.30923771929824556
2005-2,0.3169104166666667
2005-3,0.2436613333333333
2005-5,0.2516194029850746
2005-6,0.22712971014492753
2005-8,0.2611435185185185
2005-9,0.1962905982905983
2006-1,0.25813039215686273
2006-10,0.1652391891891892
2006-12,0.19847956204379563
2006-3,0.2596387755102041
2006-5,0.29740379746835444
2006-6,0.30043671875
2006-8,0.2447025
2006-9,0.2582029411764706
2007-1,0.20747316017316017
2007-10,0.22971235294117645
2007-12,0.17079951219512196
2007-3,0.18013161764705884
2007-5,0.17982534246575343
2007-6,0.1990271523178808
2007-8,0.2861959183673469
2007-9,0.1520731707317073
2008-1,0.16690662460567823
2008-10,0.10510103092783504
2008-12,0.1354023346303502
2008-3,0.09468842105263157
2008-4,0.19188356164383563
2008-8,0.12449337748344372
2008-9,0.13394082840236685
2009-1,0.15986946564885499
2009-11,0.17648458333333333
2009-12,0.22017672727272727
2009-3,0.07699958506224065
2009-4,0.10151843317972349
2009-6,0.15456
2009-8,0.15763529411764707
2009-9,0.1870426294820717
2010-1,0.24880179640718564
2010-11,0.16877397260273974
2010-12,0.18382096069868994
2010-3,0.19388557213930346
2010-4,0.2004778761061947
2010-6,0.16490497925311204
2010-8,0.16144852320675107
2010-9,0.14835882352941177
2011-1,0.19117530120481926
2011-11,0.157434008097166
2011-12,0.12177142857142857
2011-3,0.2017813333333333
2011-4,0.2231044
2011-6,0.1189608695652174
2011-8,0.08452629107981222
2011-9,0.13506098484848486
2012-1,0.18209788519637463
2012-10,0.20068380952380951
2012-12,0.15043386454183266
2012-3,0.20383030303030306
2012-4,0.15596036036036035
2012-6,0.13717131147540984
2012-8,0.1653182242990654
2012-9,0.17743443983402488
2013-1,0.22501158536585364
2013-10,0.24048691588785046
2013-12,0.241380078125
2013-3,0.21173151260504203
2013-5,0.2391341836734694
2013-6,0.2461198347107438
2013-7,0.2512228971962617
2013-9,0.2348568281938326
2014-1,0.2185740331491713
2014-10,0.2240966804979253
2014-12,0.24639107142857145
2014-3,0.19629310344827586
2014-4,0.17567409326424868
2014-6,0.23758300395256918
2014-7,0.21136596638655464
2014-9,0.226698828125
2015-1,0.213915990990991
2015-10,0.2002073469387755
2015-12,0.16429460580912864
2015-3,0.22882186234817814
2015-4,0.1836274193548387
2015-6,0.2499100806451613
2015-7,0.22607104247104245
2015-9,0.2072621513944223
2016-1,0.19985827160493827
2016-11,0.18168949416342414
2016-12,0.18448392857142856
2016-3,0.1918812749003984
2016-4,0.1963187725631769
2016-6,0.16006740740740738
2016-7,0.1765435331230284
2016-9,0.17607181467181468
2017-11,0.12564262948207172
2017-12,0.19575701357466066
2017-2,0.17818521303258145
2017-3,0.189913074204947
2017-5,0.147468679245283
2017-6,0.1581360902255639
2017-7,0.11800242914979757
2017-9,0.1225125
2018-1,0.19373846153846153
2018-11,0.1533511013215859
2018-12,0.14081585903083702
