,date,sentim,sentimScaled
0,2007-01-17,-0.09539999999999993,-0.06481761572813649
1,2007-01-18,2.1354,0.035154823284776926
2,2007-01-19,-0.296,-0.07380742712583688
3,2007-01-22,-0.35000000000000003,-0.07622741623588603
4,2007-01-23,-0.9043,-0.10106815630440746
5,2007-01-24,-0.1315,-0.06643542326281726
6,2007-01-25,-0.47149999999999986,-0.08167239173349616
7,2007-01-26,1.8800999999999999,0.023713652547822983
8,2007-01-29,0.3844,-0.04331556433921946
9,2007-01-30,1.6107,0.011640595765467499
10,2007-01-31,2.9662,0.07238680388901253
11,2007-02-01,1.6906,0.015221283356076976
12,2007-02-02,-0.48849999999999993,-0.08243424015703005
13,2007-02-05,1.2725,-0.003515706401543084
14,2007-02-06,0.4404,-0.04080594600287235
15,2007-02-07,0.2023,-0.051476305393662436
16,2007-02-08,-0.7899,-0.09594136456015556
17,2007-02-09,0.3879,-0.04315871319319786
18,2007-02-12,0.6597,-0.03097810133928447
19,2007-02-13,0.1059,-0.055796434101231585
20,2007-02-14,-0.6134999999999999,-0.088036066800662
21,2007-02-15,-0.5875,-0.08687088685878663
22,2007-02-16,0.7136,-0.028562593690550364
23,2007-02-19,-0.3612,-0.07672933990315534
24,2007-02-20,0.0,-0.06054230163371643
25,2007-02-21,0.09490000000000004,-0.056289394845871144
26,2007-02-22,0.0,-0.06054230163371643
27,2007-02-23,-0.09639999999999993,-0.06486243034128536
28,2007-02-26,0.0,-0.06054230163371643
29,2007-02-27,0.07969999999999994,-0.05697057696573682
30,2007-02-28,-0.26890000000000003,-0.07259295110949748
31,2007-03-01,-0.07959999999999995,-0.06410954484038123
32,2007-03-02,-0.12079999999999991,-0.06595590690212239
33,2007-03-05,-0.6919,-0.09154953247154807
34,2007-03-23,0.6187,-0.032815500478395765
35,2007-03-26,-0.07089999999999999,-0.06371965770598464
36,2007-03-27,0.2602000000000001,-0.04888153929233219
37,2007-03-28,0.2981,-0.047183065453982875
38,2007-03-29,-1.0516,-0.10766934882126344
39,2007-03-30,0.15850000000000003,-0.05343918544959114
40,2007-04-02,0.8593,-0.02203310455473284
41,2007-04-03,0.2263,-0.05040075467808525
42,2007-04-04,-0.6317999999999999,-0.08885617422128977
43,2007-04-05,0.3612,-0.04435526336427753
44,2007-04-06,-0.2023,-0.06960829787377043
45,2007-04-09,0.04400000000000004,-0.058570458655157975
46,2007-04-10,0.2263,-0.05040075467808525
47,2007-04-11,-0.33409999999999995,-0.07551486388681594
48,2007-04-12,0.7386999999999999,-0.02743774690050904
49,2007-04-13,0.7136,-0.028562593690550364
50,2007-04-16,0.43970000000000004,-0.04083731623207676
51,2007-04-17,2.0463,0.031161841253195988
52,2007-04-18,0.38209999999999994,-0.04341863794946221
53,2007-04-19,2.2394,0.03981554305227886
54,2007-04-20,1.9040000000000004,0.024784721802085574
55,2007-04-23,0.6837,-0.02990255062370717
56,2007-04-24,1.8416,0.021988289941584416
57,2007-04-25,3.1774,0.08185165018609286
58,2007-04-26,1.0412,-0.013881326422919726
59,2007-04-27,-0.40419999999999995,-0.0786563682685647
60,2007-04-30,1.6752,0.014531138313581549
61,2007-05-01,-0.25,-0.07174595492098035
62,2007-05-02,-0.34590000000000004,-0.07604367632197484
63,2007-05-03,1.3328000000000002,-0.0008133852286551502
64,2007-05-04,0.9551000000000001,-0.01773986461505339
65,2007-05-07,0.0,-0.06054230163371643
66,2007-05-08,0.8678999999999999,-0.02164769888165108
67,2007-05-09,0.4588,-0.03998135712092976
68,2007-05-10,0.06680000000000003,-0.05754868547535952
69,2007-05-11,0.1779,-0.05256978195449946
70,2007-05-14,0.0,-0.06054230163371643
71,2007-05-15,0.771,-0.02599023489579455
72,2007-05-16,-0.8451,-0.09841513120598333
73,2007-05-17,0.8392000000000002,-0.02293387827902893
74,2007-05-18,0.3932,-0.04292119574350772
75,2007-05-21,1.1000999999999999,-0.011241745708440276
76,2007-05-22,0.1779,-0.05256978195449946
77,2007-05-23,0.6705,-0.030494103517274662
78,2007-05-24,0.0,-0.06054230163371643
79,2007-05-25,0.0,-0.06054230163371643
80,2007-05-28,0.0,-0.06054230163371643
81,2007-05-29,0.5598000000000001,-0.035455081192875104
82,2007-05-30,0.23079999999999998,-0.05019908891891445
83,2007-05-31,0.6172,-0.03288272239811929
84,2007-06-01,1.0656,-0.012787849862082812
85,2007-06-04,0.2207,-0.050651716511719846
86,2007-06-05,0.1856,-0.05222470943325175
87,2007-06-06,0.10859999999999997,-0.055675434645729105
88,2007-06-07,0.6611,-0.030915360880875764
89,2007-06-08,0.0516,-0.05822986759522519
90,2007-06-11,-0.6132,-0.08802262241671732
91,2007-06-12,0.6705,-0.030494103517274662
92,2007-06-13,0.47509999999999997,-0.039250878926600064
93,2007-06-14,2.2113,0.03855625242279048
94,2007-06-15,-0.5177999999999999,-0.0837473083222976
95,2007-06-18,-1.6556000000000002,-0.13473737516329298
96,2007-06-19,0.6950999999999999,-0.029391664033807885
97,2007-06-20,0.5852999999999999,-0.03431230855757417
98,2007-06-21,0.9527,-0.017847419686611188
99,2007-06-22,0.06969999999999998,-0.05741872309722729
100,2007-06-25,0.5574,-0.03556263626443279
101,2007-06-26,1.0261,-0.01455802708147047
102,2007-06-27,-0.25649999999999995,-0.07203724990644922
103,2007-06-28,0.8503999999999999,-0.022431954611759508
104,2007-06-29,0.0,-0.06054230163371643
105,2007-07-02,0.7231,-0.02813685486563433
106,2007-07-03,-0.2544,-0.07194313921883622
107,2007-07-05,0.4845,-0.03882962156299896
108,2007-07-06,1.9093,0.02502223925177538
